id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
11;Psicologia (Saúde);Transtornos de Ansiedade;Ataques de pânico recorrentes e inesperados, seguidos por uma preocupação persistente sobre ter novos ataques, são características centrais do:;Transtorno de Ansiedade Generalizada (TAG);Transtorno de Estresse Pós-Traumático (TEPT);Transtorno Obsessivo-Compulsivo (TOC);Transtorno de Pânico;D;Errado. TAG é uma preocupação crônica e excessiva, mas não focada em ataques.;Errado. TEPT está ligado a um evento traumático específico.;Errado. TOC envolve obsessões (pensamentos) e compulsões (atos).;Correto. A definição descreve perfeitamente o Transtorno de Pânico (medo de ter medo).;A chave do Transtorno de Pânico é o 'medo de ter um novo ataque'.;N/A;Médio
12;Atualidades;Geopolítica;Qual organização internacional, criada no pós-Guerra Fria com o objetivo de expansão militar e política no Leste Europeu, é atualmente um ponto central de tensão nas relações com a Rússia?;OTAN (NATO);União Europeia (UE);MERCOSUL;ONU;A;Correto. A Organização do Tratado do Atlântico Norte (OTAN) é a aliança militar liderada pelos EUA cuja expansão é vista como ameaça pela Rússia.;Errado. A UE é um bloco econômico e político, embora tenha políticas de defesa.;Errado. MERCOSUL é o bloco econômico da América do Sul.;Errado. A ONU é o órgão global para a paz, não uma aliança militar.;OTAN = Aliança Militar Ocidental.;N/A;Fácil
13;Matemática;Porcentagem;Um produto que custava R$ 80,00 sofreu um aumento de 25%. Qual o novo preço?;R$ 90,00;R$ 100,00;R$ 105,00;R$ 95,00;B;Errado. 25% de 80 é 20, não 10.;Correto. 25% de 80 = (80 * 0.25) = 20. O novo preço é 80 + 20 = 100.;Errado. 105 seria um aumento de mais de 25%.;Errado. 95 não é o valor correto.;Para achar 25%, divida o valor por 4 (80/4 = 20). 'Aumento' significa somar esse valor ao original.;Preço Novo = Preço Antigo * (1 + taxa);Médio
14;Psicologia (Gestão);Liderança;Qual estilo de liderança, segundo a teoria de Kurt Lewin, é caracterizado pela centralização total do poder e da tomada de decisão no líder?;Democrática;Liberal (Laissez-Faire);Autocrática;Situacional;C;Errado. Democrática envolve o grupo na decisão.;Errado. Liberal dá total liberdade ao grupo.;Correto. Autocrática (ou autoritária) centraliza todo o poder.;Errado. Situacional adapta o estilo ao contexto.;Pense em 'Auto' (um) e 'Cracia' (poder). Poder de um só.;N/A;Fácil
15;Língua Portuguesa;Ortografia;Assinale a alternativa em que a palavra está grafada INCORRETAMENTE:;Excessão;Ascensão;Privilégio;Paralisação;A;Correto (é a incorreta). A grafia correta é 'Exceção', com 'ç'.;Errado (está correta). 'Ascensão' é com 's'.;Errado (está correta). 'Privilégio' é com 'i' na segunda sílaba.;Errado (está correta). 'Paralisação' vem de 'paralisar' (com 's').;Lembre-se de palavras cognatas. 'Exceção' vem de 'exceto'.;N/A;Fácil
16;Direito Administrativo;Poderes da Administração;O poder pelo qual a Administração Pública pode condicionar e restringir o uso e gozo de bens ou direitos individuais em prol do interesse coletivo é o:;Poder Hierárquico;Poder Disciplinar;Poder de Polícia;Poder Vinculado;C;Errado. Hierárquico é sobre a relação interna (chefes e subordinados).;Errado. Disciplinar é sobre punir infrações de servidores.;Correto. Esta é a definição clássica do Poder de Polícia (ex: vigilância sanitária, código de trânsito).;Errado. Poder Vinculado não é um poder, mas um modo de agir (sem liberdade).;Poder de Polícia = Limitar direitos privados em favor do interesse público.;N/A;Médio
17;Raciocínio Lógico;Proposições Categóricas;Qual é a negação da proposição 'Todo brasileiro é otimista'?;Nenhum brasileiro é otimista.;Algum brasileiro não é otimista.;Todo brasileiro não é otimista.;Algum brasileiro é otimista.;B;Errado. 'Nenhum' é a 'contrária', não a 'negativa'.;Correto. A negação de 'Todo A é B' é 'Algum A não é B' (ou 'Pelo menos um A não é B').;Errado. Esta é a 'contrária'.;Errado. Esta é a 'subalterna'.;Para negar 'Todo' (universal), basta UM exemplo contrário (particular).;Negação de TODO = Pelo Menos Um Não (Algum Não);Médio
18;Direito Constitucional;Organização do Estado;O Distrito Federal, ente federativo que sedia a capital da República, acumula competências de quais outros entes?;Apenas de Municípios;Apenas de Estados;De Estados e Municípios;Da União e dos Estados;C;Errado. Acumula mais que apenas competências municipais.;Errado. Acumula mais que apenas competências estaduais.;Correto. O DF possui competência legislativa e tributária tanto de Estados quanto de Municípios (não pode ser dividido em Municípios).;Errado. Não acumula competências da União (a União é um ente separado).;O DF é um ente 'híbrido'. Pense nele como um Estado que também faz o papel de Município.;Art. 32, § 1º da CF/88;Difícil
19;Matemática;Regra de Três Simples;Se 5 impressoras imprimem 1000 páginas em 4 horas, quantas páginas 3 dessas impressoras imprimiriam em 2 horas?;300 páginas;400 páginas;500 páginas;600 páginas;A;Correto. É uma regra de três composta. (Imp * Horas) / Páginas = (54)/1000 = (32)/X => 20/1000 = 6/X => 20X = 6000 => X = 300.;Errado. Verifique a proporção das horas.;Errado.;Errado.;Monte a tabela: Impressoras | Horas | Páginas. Analise as grandezas.;(I * H) / P = k (constante);Difícil
20;Atualidades;Meio Ambiente;O acordo internacional assinado em 2015, com o objetivo de limitar o aquecimento global a bem menos de 2°C acima dos níveis pré-industriais, é conhecido como:;Protocolo de Kyoto;Acordo de Paris;Rio-92;Agenda 21;B;Errado. Protocolo de Kyoto foi anterior (1997) e focado em países desenvolvidos.;Correto. O Acordo de Paris (COP21) é o atual grande pacto global sobre o clima.;Errado. Rio-92 foi a conferência onde a agenda climática começou.;Errado. Agenda 21 foi um plano de ação da Rio-92.;Acordo de Paris = 2015. Protocolo de Kyoto = 1997.;N/A;Fácil
21;Língua Portuguesa;Pontuação (Uso da Vírgula);Em qual das frases abaixo a vírgula foi usada para isolar um APOSTO?;João, o carpinteiro, faltou hoje.;Ela comprou pães, queijos, e vinhos.;Gosto de estudar, mas prefiro descansar.;Naquela manhã, o sol nasceu forte.;A;Correto. 'o carpinteiro' é um aposto explicativo (uma explicação de quem é 'João').;Errado. As vírgulas estão separando itens de uma enumeração (lista).;Errado. A vírgula está separando uma oração coordenada adversativa ('mas').;Errado. A vírgula está separando um adjunto adverbial de tempo deslocado ('Naquela manhã').;Aposto é um termo explicativo que pode ser removido sem quebrar a frase.;N/A;Médio
22;Direito Administrativo;Responsabilidade Civil do Estado;A responsabilidade civil do Estado, conforme a Constituição Federal (Art. 37, § 6º), é, em regra:;Subjetiva, baseada na culpa.;Objetiva, na modalidade risco administrativo.;Integral, não admitindo excludentes.;Subjetiva, na modalidade dolo.;B;Errado. A regra é a responsabilidade objetiva (não precisa provar culpa).;Correto. O Estado responde pelos danos (nexo causal e conduta), independentemente de culpa, na modalidade risco administrativo (que admite excludentes, como culpa da vítima).;Errado. Admite excludentes (ex: culpa exclusiva da vítima, caso fortuito).;Errado. A regra é objetiva.;Risco Administrativo = Objetiva, mas admite excludentes. Risco Integral = Objetiva, não admite excludentes (ex: dano nuclear).;Art. 37, § 6º da CF/88;Médio
23;Raciocínio Lógico;Negação (Leis de De Morgan);A negação da proposição 'Eu estudo E eu não passo' é:;Eu não estudo E eu passo.;Eu não estudo OU eu passo.;Se eu estudo, então eu passo.;Eu estudo OU eu passo.;B;Errado. Você negou as duas, mas manteve o 'E' (errado).;Correto. Pela Lei de De Morgan, a negação de (P ^ ~Q) é (~P v Q).;Errado. Esta é uma condicional, não uma negação de conjunção.;Errado.;Negação de (P E Q) = (Não P OU Não Q). Cuidado ao negar 'não passo' (negação dupla = afirmação).;~(P ^ Q) <=> (~P v ~Q);Difícil
24;Direito Constitucional;Poder Legislativo;O processo legislativo que tem por finalidade emendar (modificar) a Constituição Federal é a:;Lei Ordinária;Lei Complementar;Medida Provisória;Proposta de Emenda à Constituição (PEC);D;Errado. Leis não podem alterar a Constituição.;Errado. Leis Complementares tratam de temas específicos, mas abaixo da CF.;Errado. Medida Provisória não pode emendar a Constituição.;Correto. A PEC é o instrumento específico para alterar o texto constitucional.;A Constituição é a 'Lei Maior'. Para mudá-la, é preciso um processo especial (PEC).;Art. 60 da CF/88;Fácil
25;Matemática;Média Aritmética Simples;As notas de um aluno em 4 provas foram 7, 8, 5 e 10. Qual a sua média final?;7,0;7,5;8,0;8,5;B;Errado. Verifique a soma.;Correto. Soma = 7 + 8 + 5 + 10 = 30. Média = Soma / Quantidade = 30 / 4 = 7,5.;Errado. 8 seria a moda se houvesse duas notas 8.;Errado. Verifique a soma.;Média Simples = Soma de todos os valores dividida pelo número de valores.;M = (N1 + N2 + ... + Nk) / k;Fácil
26;Psicologia (Saúde);Psicopatologia;A presença de alucinações (ex: ouvir vozes) e delírios (crenças falsas e irredutíveis), com grande prejuízo no funcionamento social, são sintomas característicos de qual transtorno?;Transtorno Bipolar;Transtorno Depressivo Maior;Esquizofrenia;Transtorno de Personalidade Borderline;C;Errado. Bipolar envolve fases de mania e depressão.;Errado. Depressão envolve humor triste, anedonia, mas não tipicamente delírios e alucinações (a menos que seja psicótica).;Correto. Alucinações e delírios são considerados 'sintomas positivos' clássicos da Esquizofrenia.;Errado. Borderline envolve instabilidade de humor e relações, mas não psicose persistente.;Alucinações e Delírios = Sintomas Psicóticos.;N/A;Médio
27;Psicologia (Gestão);Motivação (Maslow);Segundo a Hierarquia das Necessidades de Maslow, qual das seguintes é uma necessidade de 'Estima'?;Moradia e segurança no emprego.;Amizade e pertencimento a um grupo.;Respeito dos outros e auto-respeito.;Desenvolvimento de todo o potencial.;C;Errado. Isto são necessidades de 'Segurança' (base da pirâmide).;Errado. Isto são necessidades 'Sociais' (meio da pirâmide).;Correto. Estima envolve o reconhecimento externo (status, respeito) e interno (autoconfiança).;Errado. Isto é a 'Autorrealização' (topo da pirâmide).;A pirâmide é: Fisiológicas > Segurança > Sociais > Estima > Autorrealização.;N/A;Fácil
28;Atualidades;Tecnologia;O rápido desenvolvimento de modelos de IA capazes de gerar texto, imagens e áudio de forma convincente, como o GPT e o Gemini, é conhecido como:;Inteligência Artificial Fraca;Inteligência Artificial Geral (AGI);IA Generativa;Computação Quântica;C;Errado. IA Fraca é focada em tarefas específicas (ex: jogar xadrez).;Errado. AGI é uma IA hipotética com consciência humana (ainda não existe).;Correto. 'Generativa' refere-se à capacidade de gerar novo conteúdo.;Errado. Computação Quântica é um tipo de hardware, não um modelo de IA.;IA Generativa = Gera Conteúdo.;N/A;Fácil
29;Direito Administrativo;Princípios;O princípio da Administração Pública que exige que o agente público atue sempre buscando o bem comum, sem favorecer interesses pessoais, é o da:;Legalidade;Eficiência;Impessoalidade;Publicidade;C;Errado. Legalidade é agir conforme a lei.;Errado. Eficiência é buscar o melhor resultado com menos recursos.;Correto. Impessoalidade (ou Finalidade) significa que o fim da ação deve ser o interesse público, não o pessoal (ex: proibição de promoção pessoal).;Errado. Publicidade é dar transparência aos atos.;Lembre-se do 'LIMPE' (Legalidade, Impessoalidade, Moralidade, Publicidade, Eficiência).;Art. 37, caput, da CF/88;Fácil
30;Matemática;Proporção;Uma receita de bolo exige 3 ovos para 2 xícaras de farinha. Se você quiser usar 6 xícaras de farinha, quantos ovos precisará?;5 ovos;6 ovos;9 ovos;12 ovos;C;Errado.;Errado. 6 ovos seria para 4 xícaras (dobro).;Correto. A proporção é 3/2 (ovos/farinha). Você triplicou a farinha (2 * 3 = 6). Logo, deve triplicar os ovos (3 * 3 = 9).;Errado.;Se uma grandeza aumenta (farinha), a outra também aumenta (ovos).;3/2 = X/6 => 2X = 18 => X = 9;Fácil
31;Raciocínio Lógico;Argumentação;Em um argumento válido, se as premissas são verdadeiras, a conclusão:;É provavelmente verdadeira.;É necessariamente verdadeira.;Pode ser falsa.;É necessariamente falsa.;B;Errado. 'Provavelmente' se aplica a argumentos indutivos.;Correto. Esta é a definição de um argumento dedutivo válido.;Errado. Se a conclusão pode ser falsa com premissas verdadeiras, o argumento é inválido.;Errado.;Argumento Válido + Premissas Verdadeiras = Conclusão Verdadeira (Sempre).;N/A;Médio
32;Direito Administrativo;Improbidade Administrativa;A perda da função pública e a suspensão dos direitos políticos são sanções aplicáveis a atos de improbidade administrativa que:;Atentam contra os princípios da administração.;Geram prejuízo ao erário.;Geram enriquecimento ilícito.;Todas as anteriores.;D;Incompleto. Esta é uma das hipóteses.;Incompleto. Esta é uma das hipóteses.;Incompleto. Esta é uma das hipóteses.;Correto. A Lei de Improbidade (Lei 8.429/92) prevê essas sanções (em diferentes gradações) para todas essas categorias de atos.;A Lei de Improbidade prevê diferentes 'pacotes' de sanções para cada tipo de ato.;N/A;Médio
33;Língua Portuguesa;Semântica;Qual palavra é um SINÔNIMO de 'prescindir'?;Obrigar;Necessitar;Dispensar;Indicar;C;Errado. É o oposto.;Errado. 'Imprescindível' é algo que se necessita. 'Prescindir' é o oposto.;Correto. Prescindir significa 'não precisar de', 'abrir mão de', 'dispensar'.;Errado.;Prescindir = Dispensar. Imprescindível = Indispensável.;N/A;Médio
34;Direito Constitucional;Nacionalidade;De acordo com a CF/88, qual dos seguintes cargos é privativo de brasileiro nato?;Deputado Federal;Senador;Prefeito;Presidente da República;D;Errado. Pode ser nato ou naturalizado.;Errado. Pode ser nato ou naturalizado.;Errado. Pode ser nato ou naturalizado.;Correto. Juntamente com Vice-Presidente, Pres. da Câmara, Pres. do Senado, Ministros do STF, entre outros.;Lembre-se da linha sucessória presidencial.;Art. 12, § 3º da CF/88;Fácil
35;Matemática;Geometria Plana;Um campo de futebol tem 100 metros de comprimento por 70 metros de largura. Qual a sua área total?;340 metros quadrados;170 metros quadrados;7.000 metros quadrados;3.500 metros quadrados;C;Errado. 340m seria o perímetro (soma dos lados).;Errado. 170m seria o semi-perímetro.;Correto. A área de um retângulo é calculada multiplicando-se o comprimento pela largura (100 * 70 = 7000).;Errado. Verifique a multiplicação.;Perímetro = Soma dos lados. Área = Lado * Lado (ou Base * Altura).;Área Retângulo = Base * Altura;Fácil
36;Psicologia (Saúde);SUS (Sistema Único de Saúde);Quais são os três princípios doutrinários (ou fundamentais) do SUS?;Universalidade, Equidade e Integralidade.;Gratuidade, Regionalização e Hierarquização.;Participação Social, Descentralização e Universalidade.;Integralidade, Gratuidade e Equidade.;A;Correto. Estes são os 3 princípios doutrinários (filosóficos).;Errado. Regionalização e Hierarquização são princípios organizativos (como o SUS se arranja). Gratuidade é uma consequência.;Errado. Descentralização e Participação Social são princípios organizativos.;Errado. Gratuidade não é um princípio doutrinário em si.;Doutrinários = A 'alma' (Universalidade, Equidade, Integralidade). Organizativos = O 'corpo' (Regionalização, Descentralização, Participação Social).;Lei 8.080/90;Médio
37;Psicologia (Gestão);Desenvolvimento de Equipes;Segundo o modelo de Tuckman, o estágio de desenvolvimento de equipe onde os membros começam a resolver seus conflitos e desenvolver coesão é chamado de:;Formação (Forming);Conflito (Storming);Normatização (Norming);Desempenho (Performing);C;Errado. Formação é o início, onde todos são educados.;Errado. Conflito (Storming) é onde as brigas ocorrem.;Correto. Na Normatização, o grupo define suas regras (normas) e começa a se unir.;Errado. Desempenho é o estágio final de alta produtividade.;A ordem é: Forming > Storming > Norming > Performing.;N/A;Médio
38;Atualidades;Globalização;O processo de intensificação das trocas econômicas, políticas e culturais entre os países, impulsionado pela tecnologia e pelo neoliberalismo, é conhecido como:;Nacionalismo;Protecionismo;Globalização;Regionalização;C;Errado. Nacionalismo é o oposto (foco no interno).;Errado. Protecionismo é a barreira a este processo.;Correto. Esta é a definição clássica de Globalização.;Errado. Regionalização é a formação de blocos (ex: UE, Mercosul), que é uma parte da globalização.;Globalização = Mundo sem fronteiras (principalmente econômicas).;N/A;Fácil
39;Raciocínio Lógico;Diagramas (Conjuntos);Numa pesquisa com 100 pessoas, 50 leem o jornal A, 40 leem o jornal B e 10 leem ambos (A e B). Quantas pessoas não leem nenhum dos dois jornais?;10;20;30;0;B;Errado. 10 é o número da interseção.;Correto. (Apenas A = 50-10=40). (Apenas B = 40-10=30). (Ambos = 10). Total que lê algo = 40+30+10 = 80. Total geral = 100. Não leem nada = 100 - 80 = 20.;Errado. 30 é o número de quem lê apenas B.;Errado. 80 pessoas leem pelo menos um.;Comece sempre pela interseção (o 'meio').;União (A ou B) = A + B - (A e B);Difícil
40;Direito Administrativo;Servidores Públicos (Lei 8.112);Qual das seguintes NÃO é uma forma de provimento em cargo público, segundo a Lei 8.112/90?;Nomeação;Promoção;Readaptação;Exoneração;D;Errado. Nomeação é a principal forma de provimento originário.;Errado. Promoção é forma de provimento derivado.;Errado. Readaptação (para cargo compatível com limitação física) é provimento.;Correto. Exoneração é forma de VACÂNCIA (deixar o cargo), não de provimento (entrar no cargo).;Provimento = Entrar/Preencher. Vacância = Sair/Esvaziar.;N/A;Médio
41;Língua Portuguesa;Coesão (Pronomes);Assinale a alternativa que preenche corretamente a lacuna: 'O livro ___ autor gosto muito foi premiado.';que;o qual;cujo;do qual;C;Errado. 'Que' não estabelece a relação de posse.;Errado. 'O qual' também não indica posse.;Correto. 'Cujo' é o único pronome relativo que indica posse (autor DO livro / livro CUJO autor).;Errado. 'Do qual' não se encaixa na regência (quem gosta, gosta DE algo ou DE alguém, não DO autor).;'Cujo' sempre fica entre dois substantivos e indica posse (Carro CUJO pneu / Livro CUJO autor).;N/A;Difícil
42;Direito Constitucional;Ordem Social (Seguridade);A Seguridade Social, conforme a CF/88, compreende um conjunto integrado de ações de iniciativa dos Poderes Públicos e da sociedade, destinadas a assegurar os direitos relativos a:;Saúde, Previdência Social e Educação.;Saúde, Previdência Social e Assistência Social.;Educação, Cultura e Esporte.;Trabalho, Moradia e Lazer.;B;Errado. Educação não faz parte do 'tripé' da Seguridade.;Correto. Este é o 'tripé' da Seguridade Social (S.P.A.).;Errado.;Errado.;Lembre-se do mnemônico 'S.P.A.' (Saúde, Previdência, Assistência).;Art. 194 da CF/88;Fácil
43;Matemática;Juros Compostos;Qual o montante de uma aplicação de R$ 1.000,00 a juros compostos de 10% ao mês, pelo período de 2 meses?;R$ 1.200,00;R$ 1.210,00;R$ 200,00;R$ 210,00;B;Errado. R$ 1.200 seria juros simples (100 + 100).;Correto. Mês 1: 1000 + 10% = 1100. Mês 2: 1100 + 10% de 1100 (110) = 1210.;Errado. R$ 200 seria o juro simples.;Errado. R$ 210 é o valor apenas dos juros compostos.;Juros compostos são 'juros sobre juros'. A taxa incide sobre o montante do mês anterior.;M = C * (1 + i)^t;Difícil
44;Psicologia (Saúde);Ética Profissional;O Código de Ética Profissional do Psicólogo (CEPP) baseia-se em princípios fundamentais. A quebra do sigilo profissional é permitida em qual situação?;A pedido da família do paciente.;Quando o psicólogo se sente ameaçado.;Em caso de menor de idade, para os pais.;Quando há risco de grave dano ao paciente ou a terceiros.;D;Errado. O sigilo é do paciente, não da família.;Errado. Ameaça ao psicólogo pode ser caso de polícia, mas não quebra sigilo sobre o paciente.;Errado. O atendimento ao menor também é sigiloso, salvo exceções.;Correto. O princípio da 'não maleficência' (proteger a vida) se sobrepõe ao sigilo.;A vida e a integridade física estão acima do sigilo.;N/A;Médio
45;Psicologia (Gestão);Avaliação de Desempenho;O método de avaliação de desempenho em que o funcionário é avaliado por seus superiores, pares (colegas), subordinados e, às vezes, clientes, é chamado de:;Avaliação por Objetivos;Escala Gráfica;Avaliação 360 Graus;Autoavaliação;C;Errado. Avaliação por Objetivos foca nos resultados (metas).;Errado. Escala Gráfica usa um formulário com notas (ex: 1 a 5).;Correto. A Avaliação 360 Graus (ou Feedback 360) coleta percepções de todos os ângulos ao redor do avaliado.;Errado. Autoavaliação é apenas uma parte do processo 360.;360 Graus = Avaliação vinda de todas as direções.;N/A;Fácil
46;Atualidades;Economia/Energia;A matriz energética brasileira é conhecida por ser uma das mais 'limpas' do mundo. Isso se deve, principalmente, à alta participação de qual fonte?;Energia Eólica;Energia Solar;Energia Hidrelétrica;Biomassa (Etanol);C;Errado. Eólica e Solar estão crescendo rápido, mas não são a principal fonte.;Errado. Eólica e Solar estão crescendo rápido, mas não são a principal fonte.;Correto. As grandes usinas hidrelétricas (como Itaipu, Belo Monte) formam a base da matriz elétrica do Brasil há décadas.;Errado. A biomassa (etanol/bagaço) é muito importante, mas a hidrelétrica é a maior.;O Brasil depende muito dos seus rios para gerar eletricidade.;N/A;Fácil
47;Raciocínio Lógico;Sequências Lógicas;Qual o próximo número da sequência: 1, 1, 2, 3, 5, 8, 13, ...?;18;20;21;24;C;Errado.;Errado.;Correto. É a Sequência de Fibonacci, onde cada número é a soma dos dois anteriores (8 + 13 = 21).;Errado.;Procure um padrão. 1+1=2, 1+2=3, 2+3=5, 3+5=8...;Sequência de Fibonacci;Médio
48;Direito Administrativo;Bens Públicos;Um prédio onde funciona uma repartição pública (ex: uma Prefeitura) é classificado como um bem:;De uso comum do povo;De uso especial;Dominical (ou Dominial);Particular;B;Errado. Uso comum é o que todos podem usar livremente (ex: praças, ruas).;Correto. Uso especial é aquele afetado (destinado) a um serviço ou estabelecimento público (ex: escolas, hospitais, prefeitura).;Errado. Dominical é o bem que não tem destinação (ex: terreno baldio do estado).;Errado.;Uso Comum = Ruas. Uso Especial = Repartições. Dominical = Sem Uso.;N/A;Médio
49;Língua Portuguesa;Figuras de Linguagem;A expressão 'Aquela notícia foi um balde de água fria' é um exemplo de:;Metáfora;Hipérbole;Eufemismo;Ironia;A;Correto. É uma comparação implícita (notícia = balde de água fria), sem o conectivo 'como'.;Errado. Hipérbole é um exagero (ex: 'morri de rir').;Errado. Eufemismo é uma suavização (ex: 'foi para o céu').;Errado. Ironia é dizer o oposto (ex: 'que inteligente!', para alguém que fez algo burro).;Metáfora = Comparação implícita. Símile = Comparação explícita (com 'como').;N/A;Médio
